Timestamp,Power (W),Memory Used (MB),Memory Total (MB),GPU Util (%),Memory Util (%),Temp (C),Fan Speed (%),Clock SM (MHz),Clock Mem (MHz),CPU Usage (%)
2025-03-11 18:06:05,7.3799999999999955,1064.0,24564.0,0.0,0.0,42.0,0.0,2610.0,2610.0,-0.6
2025-03-11 18:06:06,239.37,1484.0,24564.0,95.0,32.0,57.0,0.0,2730.0,2730.0,6.800000000000001
2025-03-11 18:06:07,274.77,1484.0,24564.0,95.0,33.0,57.0,0.0,2730.0,2730.0,6.300000000000001
2025-03-11 18:06:08,276.32,1483.0,24564.0,95.0,33.0,54.0,0.0,2730.0,2730.0,5.800000000000001
2025-03-11 18:06:09,284.63,1483.0,24564.0,95.0,33.0,57.0,0.0,2715.0,2715.0,6.2
2025-03-11 18:06:10,292.85,1483.0,24564.0,93.0,30.0,58.0,30.0,2715.0,2715.0,6.0
2025-03-11 18:06:11,280.82,1482.0,24564.0,93.0,30.0,58.0,30.0,2715.0,2715.0,8.700000000000001
2025-03-11 18:06:13,282.48,1482.0,24564.0,77.0,24.0,58.0,30.0,2715.0,2715.0,6.300000000000001
2025-03-11 18:06:14,274.05,1482.0,24564.0,77.0,24.0,58.0,30.0,2715.0,2715.0,6.4
2025-03-11 18:06:15,256.23,1565.0,24564.0,97.0,29.0,57.0,30.0,2715.0,2715.0,11.5
2025-03-11 18:06:16,280.78000000000003,1564.0,24564.0,94.0,29.0,58.0,30.0,2715.0,2715.0,8.5
2025-03-11 18:06:17,282.67,1539.0,24564.0,93.0,30.0,59.0,30.0,2715.0,2715.0,8.700000000000001
2025-03-11 18:06:18,286.5,1552.0,24564.0,98.0,31.0,58.0,30.0,2715.0,2715.0,8.200000000000001
2025-03-11 18:06:19,278.57,1552.0,24564.0,94.0,32.0,59.0,30.0,2715.0,2715.0,8.700000000000001
2025-03-11 18:06:20,292.24,1527.0,24564.0,95.0,32.0,59.0,31.0,2715.0,2715.0,6.5
2025-03-11 18:06:21,284.62,1505.0,24564.0,94.0,32.0,59.0,32.0,2715.0,2715.0,6.300000000000001
2025-03-11 18:06:22,273.25,1501.0,24564.0,95.0,32.0,59.0,33.0,2715.0,2715.0,6.1000000000000005
2025-03-11 18:06:23,283.26,1495.0,24564.0,95.0,32.0,54.0,33.0,2715.0,2715.0,6.4
2025-03-11 18:06:24,267.85,1495.0,24564.0,95.0,32.0,58.0,33.0,2715.0,2715.0,6.5
2025-03-11 18:06:25,274.21,1491.0,24564.0,74.0,23.0,58.0,33.0,2715.0,2715.0,7.300000000000001
2025-03-11 18:06:26,276.42,1491.0,24564.0,93.0,30.0,59.0,33.0,2715.0,2715.0,6.300000000000001
2025-03-11 18:06:27,284.63,1491.0,24564.0,78.0,24.0,59.0,33.0,2715.0,2715.0,6.6000000000000005
2025-03-11 18:06:28,290.77,1491.0,24564.0,94.0,30.0,59.0,33.0,2715.0,2715.0,6.5
2025-03-11 18:06:29,283.14,1491.0,24564.0,95.0,33.0,60.0,34.0,2715.0,2715.0,6.0
2025-03-11 18:06:31,294.14,1491.0,24564.0,95.0,33.0,59.0,34.0,2715.0,2715.0,6.300000000000001
