Timestamp,Power (W),Memory Used (MB),Memory Total (MB),GPU Util (%),Memory Util (%),Temp (C),Fan Speed (%),Clock SM (MHz),Clock Mem (MHz),CPU Usage (%)
2025-03-11 17:18:43,15.044444444444444,1168.0,24564.0,0.0,0.0,39.0,0.0,2610.0,2610.0,-0.7444444444444445
2025-03-11 17:18:44,96.52444444444444,1226.0,24564.0,81.0,4.0,43.0,0.0,2745.0,2745.0,6.655555555555556
2025-03-11 17:18:45,112.83444444444444,1231.0,24564.0,82.0,4.0,44.0,0.0,2745.0,2745.0,7.055555555555555
2025-03-11 17:18:47,112.28444444444443,1223.0,24564.0,82.0,4.0,44.0,0.0,2745.0,2745.0,7.055555555555555
2025-03-11 17:18:48,111.63444444444445,1222.0,24564.0,81.0,4.0,44.0,0.0,2745.0,2745.0,7.655555555555556
2025-03-11 17:18:49,111.84444444444443,1222.0,24564.0,82.0,4.0,44.0,0.0,2730.0,2730.0,6.455555555555556
2025-03-11 17:18:50,112.19444444444446,1222.0,24564.0,81.0,4.0,44.0,0.0,2730.0,2730.0,6.655555555555556
2025-03-11 17:18:51,112.62444444444444,1222.0,24564.0,81.0,4.0,44.0,0.0,2730.0,2730.0,7.055555555555555
2025-03-11 17:18:52,112.36444444444444,1222.0,24564.0,82.0,4.0,44.0,0.0,2730.0,2730.0,7.2555555555555555
2025-03-11 17:18:53,112.04444444444445,1222.0,24564.0,82.0,4.0,44.0,0.0,2730.0,2730.0,7.155555555555556
2025-03-11 17:18:54,111.87444444444444,1222.0,24564.0,82.0,4.0,45.0,0.0,2730.0,2730.0,7.055555555555555
2025-03-11 17:18:55,112.55444444444444,1222.0,24564.0,82.0,4.0,45.0,0.0,2730.0,2730.0,6.655555555555556
2025-03-11 17:18:56,113.17444444444445,1222.0,24564.0,82.0,4.0,45.0,0.0,2730.0,2730.0,6.655555555555556
2025-03-11 17:18:57,113.35444444444445,1222.0,24564.0,82.0,4.0,45.0,0.0,2730.0,2730.0,6.055555555555555
2025-03-11 17:18:58,113.43444444444444,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,6.955555555555556
2025-03-11 17:18:59,112.93444444444444,1222.0,24564.0,81.0,4.0,45.0,30.0,2730.0,2730.0,7.355555555555555
2025-03-11 17:19:00,113.46444444444444,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,7.7555555555555555
2025-03-11 17:19:01,113.96444444444444,1222.0,24564.0,81.0,4.0,45.0,30.0,2730.0,2730.0,7.2555555555555555
2025-03-11 17:19:02,113.94444444444446,1222.0,24564.0,81.0,4.0,45.0,30.0,2730.0,2730.0,7.055555555555555
2025-03-11 17:19:03,113.14444444444445,1222.0,24564.0,81.0,4.0,45.0,30.0,2730.0,2730.0,6.355555555555555
2025-03-11 17:19:04,113.00444444444443,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,7.055555555555555
2025-03-11 17:19:05,113.43444444444444,1222.0,24564.0,81.0,4.0,46.0,30.0,2730.0,2730.0,7.055555555555555
2025-03-11 17:19:07,113.90444444444444,1222.0,24564.0,81.0,4.0,45.0,30.0,2730.0,2730.0,6.155555555555556
2025-03-11 17:19:08,114.14444444444445,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,7.055555555555555
2025-03-11 17:19:09,113.14444444444445,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,6.655555555555556
2025-03-11 17:19:10,112.82444444444445,1222.0,24564.0,82.0,4.0,45.0,31.0,2730.0,2730.0,6.555555555555555
2025-03-11 17:19:11,113.38444444444445,1222.0,24564.0,81.0,4.0,45.0,31.0,2730.0,2730.0,7.355555555555555
2025-03-11 17:19:12,114.30444444444444,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,6.2555555555555555
2025-03-11 17:19:13,114.49444444444444,1222.0,24564.0,82.0,4.0,45.0,30.0,2730.0,2730.0,6.2555555555555555
2025-03-11 17:19:14,105.23444444444445,1224.0,24564.0,69.0,1.0,45.0,30.0,2730.0,2730.0,6.155555555555556
